pregunta,opcion1,opcion2,opcion3,opcion4,opcioncorrecta
factorización de x^2 - 1,(x+1)(x-1),(x-1)^2,x(x+1),x^2(x+1),1
¿Cuál es el valor de x en la ecuación 2x + 3 = 7?,2,3,1,4,1
¿Cómo se factoriza x^2 - 9?,(x+3)(x-3),(x+1)(x-9),No se puede factorizar,Ninguno de los anteriores,1
¿Cuál es la solución de 3x = 9?,1,3,0,-3,2
¿Cuál es el valor de y en la ecuación y/2 = 4?,8,2,6,4,1
¿Qué operación anula a una suma?,Resta,Suma,División,Multiplicación,1
¿Cómo se resuelve la ecuación x^2 = 16?,Raíz cuadrada,Multiplicación,División,Ninguno de los anteriores,1
¿Cuál es la solución de x^2 - 4x + 4 = 0?,x = 4,x = 2,x = 0,No tiene solución,2
¿Cuál es el coeficiente de x en 5x - 7?,5,7,0,-7,1
¿Qué tipo de número es 2/3?,Entero,Irracional,Racional,Imaginario,3
¿Cuál es la raíz cuadrada de 25?,4,25,5,-5,3
¿Cuál es el valor de x en la ecuación 5x - 10 = 0?,2,-2,0,5,1
¿Cómo se simplifica 2(x + 3)?,2x + 3,2x + 6,x + 6,2x + 9,2
¿Qué tipo de número es 0?,Entero,Irracional,Racional,Real,1
¿Cómo se resuelve la ecuación x - 5 = 10?,x = -5,x = 5,x = 15,x = -15,3
¿Cuál es el valor de x en x^2 = 9?,x = 3,x = -3,x = 3 y x = -3,Ninguno,3
¿Cuál es la propiedad que describe que a + b = b + a?,Asociativa,Distributiva,Conmutativa,Identidad,3
¿Cuál es el resultado de elevar cualquier número a la potencia 0?,0,1,El número en sí,Infinito,2
¿Cuál es el opuesto de -7?,7,-7,0,14,1
¿Qué operación cancela a una multiplicación?,División,Resta,Suma,Multiplicación,1
