pregunta,opcion1,opcion2,opcion3,opcion4,opcioncorrecta
x^2+3x+2 es una función...,exponencial,polinomial,trigonometrica,racional,2
raices de f(x) = x2-1,1 y -1,1,-1,no tiene raices,1
raices de f(x) = x2+1,1 y -1,0,-1,no tiene raices reales,4
la grafica de f(x) = x2+2x+1 es...,una recta horizontal,una pendiente,una parabola,ninguna,3
¿Qué tipo de función es f(x) = e^x?,Logarítmica,Exponencial,Lineal,Cuadrática,2
¿Cuáles son las raíces de f(x) = x^2 - 4?,2 y -2,4 y -4,0 y -4,No tiene raíces reales,1
¿Cuál es el dominio de f(x) = ln(x)?,Todos los números reales,x > 0,x ≥ 0,Ninguno de los anteriores,2
¿La función f(x) = sin(x) es...?,Par,Impar,Ninguna de las anteriores,Ambas,2
¿Cuál es el rango de la función f(x) = cos(x)?,"[-1,1]","(0,∞)","(-∞, ∞)","(1,∞)",1
¿Cuál es la inversa de la función f(x) = x + 3?,f^-1(x) = x - 3,f^-1(x) = x + 3,f^-1(x) = x / 3,No tiene inversa,1
¿Qué tipo de función es f(x) = log(x)?,Cuadrática,Exponencial,Logarítmica,Constante,3
¿Cuál es el rango de la función f(x) = |x|?,"[0, ∞)","(-∞, ∞)","(-∞, 0]","(0, ∞)",1
¿Cuál es la forma general de una función cuadrática?,ax + b,ax^2 + bx + c,a/x,ab^x,2
¿Cuál es la pendiente de la recta y = 3x + 2?,3,2,0,-3,1
¿Para qué valores de x es f(x) = x^2 creciente?,x > 0,x < 0,Para todos los valores de x,Ninguno de los anteriores,1
¿Cuál es la imagen de x = 0 en f(x) = -2x + 4?,4,-2,0,No existe,2
¿La función f(x) = 1/x es...?",Par,Impar,Ambas,Ninguna,2
¿Cuál es el dominio de f(x) = √(x - 2)?,x >= -2,x >= 2,x > -2,Para todos los valores de x,2
¿Cuál es el valor de f(2) si f(x) = 2x^2 - 3x + 1?,1,-1,3,7,3
¿Cuál es el dominio de la función f(x) = 1/(x - 2)?,x ≠ 2,Todos los números reales,x > 2,Ninguno de los anteriores,1

